Title,Group audio,Violin audio,Singing audio,Guitar audio,Percussion audio,Music score,Lyrics,Translations,Plurilingual songs,History,Videos,Beneficiaries,Difficulty Level,Musical style,Style musical,Thèmes,Themes,Country/Geographic origin,Pays/origine géographique,Language of origin,Langue d'origine,IS A SONG,NEWSLETTER,,,,,,,,,,
TUMANKUQE,yes,"Notes : yes
Scale : yes
Slow speed : yes
Original speed : yes","Notes : yes
Scale : yes
Albanian Slow speed : yes
Albanian Original speed : yes
Albanian Lyrics in rhythm : yes ",no,no,yes,Albanian : yes,"Albanian->English : yes
Albanian->French : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Albania, Balkans, South-Eastern Europe","Albanie, Balkans, Europe du Sud-Est",Turkish,Turc,TRUE,,,,,,,,,,,
TUMBALALAIKA,yes,no,no,"Notes : yes
Scale : yes
Chords : yes
Slow speed chords : yes
Original speed chords : yes 
Slow melody : yes
Original melody : yes",no,yes,Yiddish : yes,"Yiddish->BCMS : yes
Yiddish->English : yes
Yiddish->French : yes
Yiddish->German : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Klezmer, Traditional music","Klezmer, Musique traditionnelle",,,"Central Europe, Eastern Europe, Western Europe","Europe centrale, Europe de l'Est, Europe de l'Ouest",Yiddish,Yiddish,TRUE,,,,,,,,,,,
UN ELEPHANT QUI SE BALANCAIT,no,no,no,no,no,no,"1. French : yes
2. English : yes
3. Romanian : yes
4. Italian : yes
5. Spanish : yes
6. German : yes","1. French->English : yes
2. English->French : yes
3.1. Romanian->French : yes
3.2. Romanian->English : yes
4.1. Italian->English : yes
4.2. Italian->French : yes
5.1. Spanish->English : yes
5.2. Spanish->French : yes
6.1. German->English : yes
6.2. German->French : yes","1. French : UN ELEPHANT QUI SE BALANCAIT
2. English : ONE ELEPHANT WENT OUT TO PLAY
3. Romanian : UN ELEFANT SE LEGANA
4. Italian : UN ELEFANTE SE DONDOLAVA
5. Spanish : UN ELEFANTE SE BALANCEABA
6. German : EIN ELEFANT GING OHNE HETZ",no,NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Amusement, animaux, araigné, compagnie, croissance (de plus en 
plus d'elephants), elephant, jeux, nature, repetition","English: Animals, compagny, elephants, entertainment, growth (more 
and more elephants), nature, play, spider
German: Animals, compagny, curiosity, elephants, entertainment, growth 
(more and more elephants), nature, play, peacefuless, spider
Italian: Animals, compagny, curiosity, elephants, entertainment, growth 
(more and more elephants), nature, play, resistance, spider
Romania: Animals, compagny, elephants, entertainment, growth (more 
and more elephants), nature, play, resistance, spider
Spanish:  Animals, compagny, elephants, entertainment, growth (more 
and more elephants), nature, play, resistance, spider","France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
UN GRAND CERF,no,yes,"1. English : yes
2. French : yes
3. Russian : yes",no,no,"1. English : yes
2. French : yes
3. Russian : yes
4. German : no
5. Italian : no","1. English : yes
2. French : yes
3. Russian : yes
4. German : yes
5. Italian : yes","1. English->French : yes
2. French->English : yes
3.1. Russian->English : yes
3.2. Russian->French : yes
4.1. German->English : yes
4.2. German->French : yes
5.1. Italian->English : yes
5.2. Italian->French : yes","1. English : IN A CABIN IN A WOOD
2. French : UN GRAND CERF
3. Russian : U OLENYA DOM BOLSHOI
4. German : IN DEM WALDE STEHT EIN HAUS
5. Italian : LA NEL BOSCO C'E UNA CASETTA","French : yes
English : yes","1. English : no
2. French : no
3. Russian : no
4. German : no
5. Italian : no",Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Amitié, animaux, cerf, chasseur, danger, entraide, forêt, lapin, maison du cerf,
 nature, solidarité, survie","English: Animals, assistance, cabin, danger, fear, hunter, human, human/animals, 
relationship, kindness, leak, nature, protection, rabbit, refuge, solidarity, woods
German: Animals, danger, deer, friendship, help, house, hunter, kindness, nature, 
protection, rabbit, solidarity, woods
Italian: Animals, danger,fear, friendship, help, hunter, little house, nature, rabbit, 
solidarity, squirrel, woods
Russian: Aniamls, deer, danger, fear, help, house, hunter, imitation of door 
sound, nature, protection, rabbit, woods","Belgium, Western Europe","Belgique, Europe de l'Ouest",Dutch,Néerlandais,TRUE,,,,,,,,,,,
UN PINGOUIN DU POLE NORD,no,no,no,no,no,no,French : yes,French->English : yes,NA,no,NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Animaux, chaud, climat, désir, envie de chagement, froid, inconfort, nature, 
ouistitis, pingouin, pole nord, rêve, souhait, voyage",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
UN POQUITO CANTAS,no,no,no,no,no,yes,Spanish : yes,"Spanish->French : yes
Spanish->English : yes",NA,no -> Ines,NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Cuba, Latin America, Northern America","Cuba, Amérique latine, Amérique du Nord",Spanish,Espagnol,TRUE,,,,,,,,,,,
USKUDAR'A,yes,no,"1. Arabic : no
2. Notes : yes
Scale : yes
Turkish Slow speed : yes
Turkish Original speed : yes
Turkish Lyrics in rhythm : yes 
3. BCMS : no",no,no,yes,"1. Arabic : yes
2. Turkish : yes
3. BCMS : yes","1.1. Arabic->English : yes
1.2. Arabic->French : yes
2.1. Turkish->English : yes
2.2. Turkish->French : yes
3.1. BCMS->English : yes
3.2. BCMS->French : yes","1. Arabic : USKUDAR
2. Turkish : USKUDAR'A
3. BCMS : OJ DJEVOJKO ANADOLKO","French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,"Arabic: evening, love, money, moon, night, wealth 
BCMS: appearance, desire, feminine beauty, food, love, regret, scent, seduction, song 
Turkish: Clothing, dress, personal identity, rain, scribe, skirt, travel, weather ","Turkey, Western Asia, South-Eastern Europe","Turquie, Asie de l'Ouest, Europe du Sud-Est",Turkish,Turc,TRUE,,,,,,,,,,,
VALLEZIM SHQIPETAR,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,Traditional music,Musique traditionnelle,,,"Albania, Balkans, South-Eastern Europe","Albanie, Balkans, Europe du Sud-Est",Albanian,Albanais,FALSE,,,,,,,,,,,
VALSE SUEDOISE ,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Traditional music, Waltz","Musique traditionnelle, Valse",,,"Sweden, Northern Europe","Suède, Europe du Nord",Swedish,Suédois,FALSE,,,,,,,,,,,
VEM KAN SEGLA FORUNTAN VIND,no,no,no,no,no,yes,Swedish : yes,"Swedish->French : yes
Swedish->English : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Sweden, Northern Europe","Suède, Europe du Nord",Swedish,Suédois,TRUE,,,,,,,,,,,
VENT FRAIS ,no,yes,"1. English : yes
2. French : yes
3. German : yes
Canon : yes",no,no,yes,"1. English : yes
2. French : yes
3. German : yes","1. English->French : yes
2. French->English : yes
3.1. German->English : yes
3.2. German->French : yes","1. English : HE HO
2. French : VENT FRAIS
3. German : HEJO SPANN DEN WAGEN AN","French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Children's song, Chistmas song, Nursery rhyme","Chanson de Noël, Chanson enfantine, Comptine","Arbre, frais, grand, matin, météo, pin, taille, température, vent","English: House, isolation, missing, poverty, questioning
German: Agricultural work, nature, rain, transport, travel, weather, car
","United Kingdom, North-Western Europe","Royaume-Uni, Europe du Nord-Ouest",English,Anglais,TRUE,,,,,,,,,,,
VERBOVAYA DOSHCHECHKA,no,no,"Notes : yes
Scale : yes
Ukrainian Slow speed : yes
Ukrainian Original speed : yes
Ukrainian Lyrics in rhythm : yes ",no,no,no,Ukrainian : yes,"Ukrainian->French : yes
Ukrainian->English : yes",NA,no,NA,?,?,Traditional music,Musique traditionnelle,,,"Ukraine, Eastern Europe","Ukraine, Europe de l'Est",Ukrainian,Ukrainien,TRUE,,,,,,,,,,,
VERBUNKOS,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song, Verbunkos","Chant traditionnel, Danse de recrutement, Musique traditionnelle, Verbunkos",,,"Austria, Hungary, Western Europe","Autriche, Hongrie, Europe de l'Ouest",Hungarian,Hongrois,FALSE,,,,,,,,,,,
VERKA KALUDJERKA,no,no,no,no,no,yes,Romani : yes,"Romani->English : yes
Romani->French : yes",NA,no,NA,"Teenagers
Adults ",Advanced,"Traditional music, Traditional song","Musique traditionnelle, Chant traditionnel",,,?,?,Romani,Romani,TRUE,,,,,,,,,,,
VIVE LE VENT,yes,no,"1. English : yes
2. French : yes",no,no,yes,"1. English : yes
2. French : yes","1. English->French : yes
2. French->English : yes","1. English : JINGLE BELLS
2. French : VIVE LE VENT","French : yes
English : yes",NA,Children,Easy,"Children's song, Chistmas song","Chanson de Noël, Chanson enfantine","Chanson, hiver, météo, neige, passage du temps, saison, souvenir d'enfance","English: Animals, bell, horse, joy, path, season, sleigh, sing, snow, sound, 
weather, winter ","United States of America, Northern America","Etats-Unis, Amérique du Nord",English,Anglais,TRUE,,,,,,,,,,,
VOLANDO VOY,yes,"Scale : yes
Notes : yes
Slow speed : yes
Original speed : yes","Notes : yes
Scale : yes
Spanish lyrics in rhythm : yes
Spanish slow speed : yes
Spanish original speed : yes","Notes : yes
Scale : yes
Chords : yes
Slow speed chords : yes
Original speed chords : yes 
Slow melody : yes
Original melody : yes",no,no,Spanish : yes,"Spanish->French : yes
Spanish->English : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Flamenco, Rumba flamenca","Flamenco, Rumba flamenca",,"Spanish: émotions, flower, freedom, hardship, joy, life, lifecycle, love, optimism, plant, travel","Spain, South-Western Europe","Espagne, Europe du Sud-Ouest",Spanish,Espagnol,TRUE,,,,,,,,,,,
VOLE VOLE PAPILLON,no,no,no,no,no,no,French : yes,French->English : yes,NA,no,NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Animaux, école, insectes, intéraction, maison, moulin, mouvement, nature, 
papillon, parties du corps humain, voler",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
VRANJANSKI COCEK,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Traditional music,Musique traditionnelle,,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",FALSE,,,,,,,,,,,
W MOIM OGRODECZKU,no,no,no,no,no,yes,Polish : yes,"Polish->Fr : yes
Polish>Eng : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Poland, Central Europe","Pologne, Europe centrale",Polish,Polonais,TRUE,,,,,,,,,,,
WHY DON'T YOU DO RIGHT,no,no,English : yes,no,no,no,English : yes,English->French : yes,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Blues, Jazz","Blues, Jazz",,,"United States of America, Northern America","Etats-Unis, Amérique du Nord",English,Anglais,TRUE,,,,,,,,,,,
WIR LIEBEN DIE STURME,no,no,no,no,no,yes,German : yes,"German->English : yes
German->French : yes",NA,no,NA,Children,Easy,"Nursery rhyme, Children song ","Comptine, Chanson enfantine",,,"Germany, Western Europe","Allemagne, Europe de l'Ouest",German,Allemand,TRUE,,,,,,,,,,,
YA PIDU V DALEKI HORY,no,no,no,no,no,no,Ukrainian : yes,"Ukrainian->French : yes
Ukrainian->English : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Ukraine, Eastern Europe","Ukraine, Europe de l'Est",Ukrainian,Ukrainien,TRUE,,,,,,,,,,,
YENI YIL GELDI,no,no,"Notes : yes
Scale : yes
Turkish Slow speed : yes
Turkish Original speed : yes
Turkish Lyrics in rhythm : yes ",no,no,no,Turkish : yes,"Turkish->English : yes
Turkish->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,Festive song,Chanson festive,"Fêtes de fin d'année, Nouvel An, Voeux","End of the year celebrations, New Year, Wishes","Turkey, Western Asia, South-Eastern Europe","Turquie, Asie de l'Ouest, Europe du Sud-Est",Turkish,Turc,TRUE,,,,,,,,,,,
YOSHKE YOSHKE,yes,no,NA,no,no,yes,NA,NA,NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Klezmer, Traditional music","Klezmer, Musique traditionnelle",,,"Central Europe, Eastern Europe, Western Europe","Europe centrale, Europe de l'Est, Europe de l'Ouest",Yiddish,Yiddish,FALSE,,,,,,,,,,,
YOU TALK TOO MUCH,no,no,no,no,no,no,"1. English : yes
2. French : yes","1. English->French : yes
2. French->English : yes","1. English : YOU TALK TOO MUCH
2. French : TU PARLES TROP",no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Rock,Rock,,,"United States of America, Northern America","Etats-Unis, Amérique du Nord",English,Anglais,TRUE,,,,,,,,,,,
ZAPJEVALA SOJKA PTICA,no,no,no,no,no,no,BCMS : yes,"BCMS->English : yes
BCMS->French : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
ZIM KHOROTIK YAR,yes,"Notes : yes
Scale : yes
Slow speed : yes
Original speed : yes","Notes : yes
Scale : yes
Armenian lyrics in rythm : yes
Armenian Slow speed : yes
Armenian Original speed : yes","Notes : yes
Scale : yes
Chords : yes
Slow speed chords : yes
Original speed chords : yes 
Slow melody : yes
Original melody : yes","Darbouka Original speed : yes
Darbouka Slow speed : yes
Darbouka Rhythmic pattern : yes",yes,Armenian : yes,"Armenian->English : yes
Armenian->French : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,"Armenian: Body part, chest, garden, light, love, moon, nature, wind ","Armenia, Western Asia","Arménie, Asie de l'Ouest",Armenian,Arménien,TRUE,,,,,,,,,,,
ZOZULECHKA,no,no,"Notes : yes
Scale : yes
Ukrainian lyrics in rythm : yes
Ukrainian Slow speed : yes
Ukrainian Original speed : yes",no,no,yes,Ukrainian : yes,"Ukrainian->English : yes
Ukrainian->French : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Ukraine, Eastern Europe","Ukraine, Europe de l'Est",Ukrainian,Ukrainien,TRUE,,,,,,,,,,,
ZUHRINO KOLO,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,"Kolo, Traditional dance, Traditional music","Danse traditionnelle, Kolo, Musique traditionnelle",,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",FALSE,,,,,,,,,,,
